Comentario,Emocion_Predicha,Confianza
la universidad si bien es privada no solo se financia por el pago de los estudiantes la universidad recibe una asignacion presupuestaria del estado ecuatoriano ademas de recibir fondos de la iglesia catolica la universidad politecnica salesiana de ecuador pertenece a la red ius institutos y universidades salesianas del mundo es decir un estudiante alli tienes acceso a programas de intercambio con otras universidades salesianas del mundo porque si la universidad salesiana tiene cedes en paises tanto en europa asia africa y america siendo su principal la universidad politecnica salesiana de italia existen programas de verano donde los estudiantes pueden estudiar uno o semestres en otra universidad fuera de ecuador la universidad salesiana junto con la universidad catolica son las que tienen la mayor red de universidad en el mundo y por ende los estudiantes tienen a multiples programas internacionales de educacion superior de alli porque esta universidad es una de las mejores del pais en ecuador la universidad politecnica salesiana tiene sedes cuenca guayaquil y quitoen quito tiene campus,1 star,0.7263860944030202
gran video cris y eso q te falto conocer el coliseo los laboratorios la biblioteca es muy completa ademas de tener la sede sur que no le pide nada a las otras universidades pagadas debes conocer la sede sur,1 star,0.8663707469492191
felicitaciones chris otro excelente video bonita universidad,5 stars,0.5064651001333604
linda universidad el precio de deberia ser el precio maximo por semestre en todas las universidades del ecuador no puede ser un negocio el estado debe regular y controlar los precios,1 star,0.35085910998525766
muy bien chris felicitaciones y exitos en tus trabajos,5 stars,0.8455335120331078
yo tambien soy salesiana me gradue hace anos de pregrado gracias a la beca cers de la universidad pude lograrlo y ahora estudio mi maestria en la sale mismo es un universidad muy buena y con conciencia social,5 stars,0.5555846894414962
excelente te falta aun visitar el campus de la universidad salesiana del sur de quito donde estan las carreras de ingenieria,1 star,0.6702153687898025
cuesta un poco menos que la mitad de mi sueldo actual todo gracias a la sale que en la modalidad de horario vespertino me permitio trabajar desde que estaba en to semestre ya sali de la u con dos anios de experiencia trabajando basicamente y eso me ayudo mucho ojala sigan manteniendo esa flexibilidad de horarios que permiten obtener experiencia laboral antes de egresar,1 star,0.6284750195384607
todas las universidades en quito estan muy caras poniendose a comparar el ingreso por cada persona y los precios en cada universidad esto es una locura aqui en eeuu tambien hay las universidades mas economicas que han de ser unos por semestre pero el salario minimo es como veces el salario minimo del ecuador los activos fijos la comida todo precio esta inflado en ecuador,1 star,0.40859041326709067
muy buen video me han comentado que la umet tambien esta dentro de ese rango conjuntamente con la salesiana y la israel saludos,5 stars,0.5032603198001819
a cuanto cuesta el semestre,5 stars,0.6238609304648316
que sede es disculpe,1 star,0.4234327934904523
hay examen de ingreso,5 stars,0.42030528460410865
hola me puedes ayudar con el costo final por fa de cada semestre,5 stars,0.4385214470707227
es dificil yo tambien quiero entrar a la salesiana,1 star,0.7938663789160348
que tal son los laboratorios,5 stars,0.5940737678711653
alguien que me diga si esta carrera no es tan compleja,1 star,0.8824010501923912
disculpen q toman en el examen de admision,5 stars,0.47067506360453587
si o no marino,1 star,0.7202212700285746
es una universidad en mi opinion,1 star,0.7139454887759592
con decirte que una ex ministra saco titulo en menos de un ano y luego decia que ha luchado como el pueblo para donde esta te muestra como es esa universidad,1 star,0.5040690933407848
cuales si tienen prestigio,3 stars,0.5679976103877282
deleted,3 stars,0.6444202743785166
depende la carrera por ejemplo para derecho es terrible no hay casi clases y no ensenan con mucha pasion pero para carreras como fisioterapia es muy buena hay profesionales muy capaces y son muy estrictos con la anatomia y se estudia bastante duro,2 stars,0.6098607027353738
diria que la que tiene es la san francisco de quito pero es cara dependiendo de las carreras obvio,3 stars,0.3949336027475849
no mucho,2 stars,0.7775950606888683
no,1 star,0.9633026545175812
no,1 star,0.9633026545175812
no,1 star,0.9633026545175812
no,1 star,0.9633026545175812
no,1 star,0.9633026545175812
ninguno,1 star,0.6505613288892859
si deseas una universidad politecnica te recomendaria la universidad politecnica nacional o la espe,1 star,0.6849030412815268
lo unico bueno ah consideracion depende de tu malla de carrera espol se concentra mas en las areas de ciencia de la tecnologia y industrializacion siendo esta reconocida como la segunda mejor universidad en ecuador aparte de la san francicos de quito pero esa es demasiada cara si quieres una opcion pagada fuera por la ues o la uide claro dependiendo de lo que elijas estudiar,3 stars,0.4119795899831245
uy,3 stars,0.6444202743785166
ajajj,3 stars,0.6444202743785166
realmente depende de la carrera y cuanto dinero tengas si el dinero no es un problema la san francisco,1 star,0.6998036773148499
quien dijo que voy a ir a ecuador,1 star,0.5496530090622902
no voy a estudiar ahi jaja es que en mi uni vamos a colaborar con los estudiantes de esta en un proyecto y me daba curiosidad pero gracias x la info,1 star,0.7294781794229319
lo de ser catolico o no te aseguro que es un mito no se quien te habra dicho eso xd lo demas no puedo decirte mucho me acabo de graduar,1 star,0.7152987243162527
saludos recuerde esto y quizas poco se habla en cualquier profesion trata de ser el mejor y aprender para que ofrezca un servicio de calidad y hacer contactos luego son muy importantes hasta para tener referencias profesionales y recomendaciones aprenda finanzas personales los ecuatorianos no sabemos la mayoria ni la diferencia entre una tarjeta de debito y credito nunca deje de aprender algo nuevo,1 star,0.5261868692435997
perdon por no responder a tu pregunta pero cuando entres a la u haz contactos no solo con manes de tu carrera haz contactos de carreras afines o de gente que ya trabaja en tu sector si algun profe necesita de algun ayudante nano asi no te paguen metete ahi eso en la vida laboral te va ayudar mucho odio decirlo pero sin contactos en la vida laboral es complicado encontrar trabajo suerte,1 star,0.6364465727907903
hey que tal sabes que sobre la ups no se nada jaja pero si te puedo hablar sobre la carrera de ing mecatronicasoy graduado hace ya casi una ano en universidad privada y si te soy sincero el campo laboral esta muy dificil te hablo desde mi punto de vista pero en la universidad con te dicen en otros comentarios trata de hacer amistades en todo lugar y si tienes amistades con psicologos o personas que trabajen en recursos humanoscreeme que te va ser de mucha ayuda en mi carrera por lo menos mi circulo de amigos ninguno esta trabajando el algo que sea de mecatronica algunos se fueron los la programacionpaginas web apps etc otros trabajan en areas de ventas de maquinaria o de dispositivos tecnologicos otros trabajan en otras cosas que no son de la carrera y otros decidieron viajaar es vrdd lo que dicen sobre que si un profesor necesita algun ayudante o algo por estilo metete de cabeza siempre y cuando sea referente a lo que te apasione si vas a seguir mecatronica debes saber que hay muchos campos en los cuales puedes aplicar redes programacion automatizacion manufactura y tal pero no vas a salir siendo un capo de estos de la universidad si te puedo dar un consejo busca pasantias despues de tu do o r semestre todo eso suma a tu hoja de vida y asi tambien vas buscando que te gusta y cuando ya te gusta algo ya es diferente metele muchas ganas y nunca dejes de estudiar siempre saca certificados de algo tambien ayuda en hoja de vida,1 star,0.5329231813933247
yo he tenido tres profesores de matematica y fisica que se graduaron de la politecnica y algo no se si nacional o salesiana excepto uno que me consta se graduo de la nacional los tres don muy malos explicando y tienen metodos largos complejos y ambiguos dicen que es la mejor universidad es la mejor del pais pero pienso todo lo contrario si te cuesta mucho entender los temas no te cabe espacio para pensar en como aplicar esos conocimientos yo pensaba entrar a la ute para mecatronica tambien mi consejo seria que hables con egresados de las universidades que esten entre tus opciones sobre dificultad de aprendizaje proyectos desarrollador y demas si tienes la posibilidad de estudiar fuera te recomendaria argentina que tiene en mi opinion la mejor ingeniera de la region suerte nano,1 star,0.5347832776139905
mi experiencia tanto de trabajador como de estudiante en la ups comparandola con otras universidades donde pude estudiar y trabajar fue agradable profesores buenos y bastante profesional los laboratorios y sus ingenieros estan capacitados ademas de un ambiente social ameno es falso lo de si no eres catolico te va mal aunq existen las materias que les llaman de diosito son materias de antropologia etica servicio social etc eso si como toda entidad educativa tiene sus casos de frustrantes hay algunos profesores q quieren imponer ideologia o con algun estigma pero la ventaja es q se puede entrar en dialogo algunos consejos q te puedo dar es que aproveches los cursos extras q suelen dar habla con los profesores y comunicales algun proyecto o interes en algun tema que tengas suelen ayudarte para conseguirlos aprovecha los lugares que te dan de practicas y servicios sociales de ahi sales con bastantes contactos,1 star,0.6514033452018321
dependiendo de la industria existe una cierta narrativa que en esa universidad se va a joder tengo un familiar trabajando como ingeniero en alimentos y en su empresa no quieren saber nadie de la ups no digo que todos piensen asi pero mi consejo es que si vas a estudiar ahi e invertir en tu educacion cuando tengas la oportunidad preparate muy bien aprende otras habilidades y haz practicas profesionales que valgan la pena fuera de eso es igual que en otra universidad,1 star,0.7084684693983542
wow q pena a mecatronica este tan dificil alla yo vivo en europa y aqui mecatronica esta en auge al menos conozco uno que otro y por eso se que es una carrera con alta demanda en realidad podrias intentar irte a canada australia o europa con la blue card con esa carrera,1 star,0.7884288943610772
de verdad chuta eso si suena fatal no quiero que me hagan feo si busco trabajo una vez graduado se que es dificil en estos tiempos pero quiero hacer una carrera en ingenierias no quiero tantas pretensiones las publicas estan fuera de mi rango me puedo permitir una privada como la ups pero como es plata que yo mismo voy a invertir no quiero luego estar mal al menos que me abra algunas puertas,1 star,0.6263045086284799
la idea es hacer una maestria alla el tema es el dinero pero hay que arriesgarlo el todo por el todo veamos que depara el futuro,1 star,0.7505777669570052
claro de igual forma esa situacion uno la sobrepone si se propone destacar y adquiriendo experiencia pero esos prejuicios existen otra situacion y es por un familiar que tengo conocido ahi es que han hecho reduccion de personal la situacion en universidades privadas esta complicada porque la gente en general no esta pagando los precios altos de universidades y se esta inclinando a los tecnologicos si puedes anda a la salesiana como que vas a averiguar de la carrera recorre las instalaciones y conversa con ciertos estudiantes que esten ahi espero eso te de un mejor panorama como esta la universidad suerte,1 star,0.5325356508241023
hay linea en valenciano castellano y ingles no es requisito saber valenciano puedes elegir todo en castellano,1 star,0.6742779772941053
yo estudie en la upv y no se valenciano al momento de entrar al grado puedes seleccionar el curso en valenciano castellano indistinto y en algunos casos ingles luego lo de rendir valenciano no se a que te refieres dices desde la prueba de acceso a la universidad,1 star,0.8498064788457326
yo estoy cursando el fp daw y si bien las materias son en valenciano los docentes permiten hacer los examenes en castellano aunque aclaran que para la direccion se deberia de dar en valenciano supongo que la politecnica sera similar,3 stars,0.29634906989131865
la universidad no incluye ninguna asignatura en valenciano si no la eliges tu como ya te han dicho pero las pruebas de acceso a la universidad si que incluyen el valenciano como asignatura estaran exentos los alumnos que hayan llegado al sistema escolar valenciano en to de la eso o bachiller es decir depende de donde vivas y cual sea tu situacion de estudios actual,1 star,0.6164177422511229
y no hace falta rendir entonces para el ingreso gracias,1 star,0.7684273294376753
si a la prueba de acceso he visto que como una de las cosas a evaluar es valenciano pero quizas lo estoy interpretando mal y es solo si quieres hacer la carrera en valenciano muchas gracias speess,3 stars,0.33352771465501985
uffffff gracias por la informacion,5 stars,0.8377940286559196
vale gracias ya me lo temia,5 stars,0.605211618042007
en la prueba de acceso uno de los requerimientos es hacer las mismas asignaturas que se hacen en comun con el resto de comunidades mas el valenciano independiente de si luego realizaras un grado en valenciano o en castellano tienes que hacer esa prueba se puede evitar hacer el valenciano bueno hay gente que viene de otras comunidades y viene con la nota de acceso hecha sin el valenciano ya que alli no se da otra opcion es hacer el acceso en valencia y no hacer la de valenciano te quitaran la nota correspondiente y tendras menos nota media incluso puedes entrar por grado superior sin hacer la prueba de acceso aunque el tiempo que te tarde y la nota sobre a pesar de que puedes hacer las opcionales para subir al lo que no se es tu situacion si eres de otra comunidad otro pais si ya has cursado el bachillerato o tienes otro titulo etc saludos,1 star,0.8129104921171991
preguntame por privado lo que quieras,1 star,0.45182755466548224
anda a la u brother guatemala no le da tanta importancia a los militares como otros paises la pregunta seria para que queres ir a la politecnica a que te queres dedicar yo me inclinaria en ir a la u pero depende que quieras para tu vida,1 star,0.5933830594552046
tal vez alguien que haya sido militar puede confirmar pero mi percepcion es que un porcentaje alto de los soldados no ven los beneficios y las oportunidades que los oficiales reciben si me preguntaras a mi anda a la u el ejercito posiblemente no es tan cool como te lo imaginabas a los anos y la experiencia de ir a la u y conocer a mara muy diferente a vos es bien enrriquecedora,1 star,0.5501821995423701
muchas gracias por su opinion y tienen razon aqui el ejercito no es que este bien la verdad y si creo que sera obviamente mejor la u gracias por su tiempo para decirme su opinion,1 star,0.36391497116845306
dependiendo mucho de gustos yo por ejemplo si voy a entrar a la escuela politecnica pero es dependiente de que quieras en realidad pero te voy a contar desde mi perspectiva en la escuela politecnica es algo cara solo el ingreso que son uniformes y examenes de admision son q pero de ahi a tus anos de estancia no se paga nada es la propia politecnica la que te proporciona q mensuales aparte de comida y residencia tiene sus beneficios un cadete recien graduado como subteniente tiene un sueldo de q esto depende de la rama a la que seas asignado tiene mas cosas buenas o malas si quieres saber preguntame pero mas o menos esto es lo mas basico en informacion,3 stars,0.4011817200113694
q oportunidades ademas del ejercito te la la escuela politecnica despues de la u podes hacer de todo,1 star,0.5898012537914022
todita la razon gracias por tu opinion,5 stars,0.7325285645743567
es el xiaomi de las universidades tiene buena relacion calidadprecio,5 stars,0.7127159945328251
